startsum_low,startsum_high,age_low,age_high,distance,starttype,gender,applicants,addition,first_price,good_prop,id,starting_total,starting_women
0,12000000,0,12,2140,0,0,3,0,0,0,224,3,0
0,12000000,2,2,2140,1,0,6,0,0,0,225,6,2
0,15000,3,12,2140,1,0,8,0,30000,0,226,8,0
0,49000,3,3,2140,1,0,11,0,60000,1,227,11,1
0,56000,3,12,2140,2,0,10,0,30000,0,228,9,0
0,12000000,0,12,2140,1,0,4,0,0,0,229,4,2
0,12000000,2,2,2140,1,0,11,0,0,1,230,11,1
0,12000000,4,12,2140,1,0,0,0,0,0,231,0,0
100001,250000,3,12,2140,2,0,17,0,125000,1,232,12,1
250001,500000,3,12,1640,2,0,18,0,125000,1,233,12,1
500001,900000,3,12,2640,2,0,21,0,125000,1,234,12,0
500001,1700000,3,12,1640,2,0,16,0,150000,1,235,12,1
900001,12000000,3,12,2640,2,0,11,0,400000,1,236,11,0
150001,600000,3,12,2140,2,1,19,0,125000,1,237,15,3
150001,1300000,3,12,3140,0,0,26,1,125000,1,238,15,0
50001,360000,3,12,2140,0,1,20,1,100000,1,239,15,2
0,12000000,2,2,1640,2,0,10,0,600000,0,240,9,3
25001,75000,3,12,1640,2,0,13,0,40000,1,241,11,2
0,150000,3,3,2140,0,1,13,1,60000,1,242,11,0
200001,12000000,4,12,2140,2,1,6,0,75000,0,243,6,0
0,30000,3,12,2140,1,0,15,0,30000,1,244,12,3
0,85000,3,12,2140,1,0,12,0,30000,1,245,12,1
40001,145000,3,12,1640,2,0,15,0,40000,1,246,12,1
0,12000000,3,12,2140,0,0,21,1,30000,1,247,15,2
50001,203583,3,12,1640,2,0,14,0,70000,1,248,12,2
75001,325000,3,7,2140,0,1,15,0,125000,1,249,15,6
0,12000000,0,12,2140,1,0,9,0,0,0,250,8,3
0,12000000,2,2,2140,0,0,13,0,0,1,251,12,2
0,12000000,2,2,1640,0,0,8,0,30000,0,252,8,1
0,13500,3,12,2140,1,0,11,0,30000,1,253,10,2
0,49000,3,12,2140,1,0,14,0,60000,1,254,12,0
13501,70000,3,12,2140,2,0,14,0,30000,1,255,12,2
0,126000,3,12,2140,0,0,11,1,30000,1,256,10,0
126001,233000,3,12,2640,2,0,14,0,30000,1,257,12,1
0,12000000,3,12,2140,0,0,12,0,30000,1,258,9,2
0,12000000,0,12,2140,0,0,12,0,0,1,259,10,2
0,12000000,4,12,2140,1,0,1,0,0,0,260,1,0
0,12000000,2,2,1640,2,0,16,0,75000,1,261,8,1
0,90000,3,12,2140,0,0,10,1,30000,0,262,9,0
0,300000,3,3,2140,0,0,9,1,60000,0,263,8,0
100001,395000,3,7,1640,2,1,8,0,50000,0,264,8,2
0,550000,3,12,2140,0,0,8,1,30000,0,265,8,0
0,12000000,3,12,2140,0,0,12,1,50000,1,266,10,1
100001,12000000,4,4,2140,2,0,4,0,60000,0,267,0,0
550001,12000000,3,12,2140,2,0,5,0,60000,0,268,5,0
0,12000000,4,12,2640,0,0,11,1,50000,1,269,11,2
0,12000000,0,12,2140,1,0,8,0,0,0,270,8,1
0,19000,3,12,2140,1,0,7,0,30000,0,271,7,0
0,50000,3,12,2140,2,0,14,0,30000,1,272,12,1
0,300000,3,12,2140,0,0,16,1,30000,1,273,14,1
0,550000,4,4,2140,0,1,8,1,50000,0,274,8,0
0,12000000,3,3,2140,0,0,10,1,60000,0,275,10,1
250001,500000,3,12,1640,2,0,13,0,125000,1,276,12,1
200001,800000,3,12,1640,2,1,9,0,70000,0,277,8,1
500001,1100000,3,12,2140,2,0,15,0,70000,1,278,12,1
