startsumma,häst,startpoäng,ålder,kön,tränare,tränarkön,tjänat_innev_år,proffs_amatör,id
1288737,Thrust Control (US),585,6,v,Eriksson Christoffer (J),0,38000,1,116
1285580,Firewire,154,9,s,Jakobsson Rigmor (Ax),1,500,0,117
1281801,Panamera,1820,7,v,Karlsson Ola (J),0,107000,1,118
1277324,Roofie,0,6,v,Untersteiner Johan (Hd),0,0,1,119
1276200,Mr Perfection,1195,8,v,Oscarsson Jim (Kr),0,174000,1,120
1274879,Gina Mearas,718,5,s,Untersteiner Johan (Hd),0,35879,1,121
1268500,Ad Hoc,560,6,h,Engblom Raoul (Ax),0,500,1,122
1259623,Zio Tom Jet* (IT),790,6,h,Riordan Jerry (Hd),0,52000,1,123
1257208,Ivory di Quattro,2900,6,h,Bergh Robert (Å),0,205000,1,124
1248404,Crack Atout (FR),1777,9,v,Malmqvist Tomas (J),0,147795,1,125
1242860,Princess SW,2565,7,s,Untersteiner Peter (Hd),0,211000,1,126
1242500,Globalizer,10265,4,s,Riordan Jerry (Hd),0,0,1,127
1236936,Cobbys Olifant,707,7,v,Uhrberg Thomas (J),0,24500,1,128
1232550,Farlander Am,6035,6,v,Svensson Johan (Hd),0,0,0,129
1212000,Vincent As (IT),687,7,v,Dahlén Magnus (Hd),0,34500,1,130
1189912,Devs Daffodil,2494,7,s,Lugauer Conrad (J),0,5000,1,131
1168364,Queen of Trixs (US),1335,5,s,Eklundh André (Å),0,53500,1,132
1159500,Fantasia Sisu,1635,6,s,Ivehag Josefine (Ax),1,46000,0,133
1159050,Dokonjo,680,11,v,Linderoth Mikael Å (Å),0,13000,1,134
1158912,Adiago Trot,295,7,v,Lindgren Marcus (Hd),0,14000,1,135
1156924,Hunter Valley* (FR),4366,4,s,Malmqvist Tomas (J),0,381211,1,136
1156500,Deep Pockets,3460,6,v,Svanstedt Rickard (Ax),0,0,1,137
1134529,Julia Pellini,430,8,s,Dahlén Magnus (Hd),0,25000,1,138
1132800,Julia af Solnäs,1115,8,s,Haglund Veronica (Hd),1,31500,0,139
1124200,Adde SH,2110,6,v,Untersteiner Peter (Hd),0,0,1,140
1117793,Ganyboy (DE),877,7,v,Kolgjini Adrian (J),0,67864,1,141
1100085,Mythology Bluechip (US),40,9,v,Hecht Karlsson Pernilla (Kr),1,0,0,142
1097750,Mellby Harissa,2555,5,s,Bergh Robert (Å),0,0,1,143
1097485,Payet DE (DE),2625,6,v,Lähdekorpi Hanna (Hd),1,240000,0,144
1095500,Indra's Secret,2060,7,s,Bergh Robert (Å),0,0,1,145
1091928,Eric the Eel* (DK),1561,5,h,Malmqvist Tomas (J),0,81542,1,146
1086750,Legend Brodde,900,10,v,Törnqvist Maria (Å),1,0,1,147
1084800,Argbiggan,1610,6,s,Svanstedt Rickard (Ax),0,500,1,148
1076755,Vischio Holz (IT),229,7,h,Dahlén Magnus (Hd),0,16900,1,149
1073600,All Star,310,9,v,Malmqvist Roger (J),0,21500,1,150
1067190,Kennedy,1170,6,h,Kolgjini Adrian (J),0,92000,1,151
1060714,Belen Hall Fas* (IT),3035,4,s,Riordan Jerry (Hd),0,0,1,152
1058300,MTMighty Winner,997,7,v,Lövgren Joakim (J),0,500,1,153
1056096,Volocity de Vie (US),365,9,v,Pilenberg Mikael (J),0,500,0,154
1056000,Infinitus,1185,7,v,Lövgren Joakim (J),0,64000,1,155
1051796,Alhambra Mail (IT),6970,5,s,Dahlén Magnus (Hd),0,362000,1,156
1051350,Randemar RD,1170,7,v,Untersteiner Peter (Hd),0,0,1,157
1048566,Tiptoe,96,11,v,Olsson Jacobsen Sophia (Å),1,2500,0,158
1044050,Smokey Herman,124,9,v,Stenströmer Ulf (Ax),0,9400,1,159
1039854,Harpos Rockland,235,14,v,Svensson Harpo (Hd),0,0,0,160
1034000,Florist,695,4,s,Oscarsson Jim (Kr),0,0,1,161
1028644,Can Lane,1165,8,v,Untersteiner Johan (Hd),0,0,1,162
1027574,Hank von Håleryd,98,10,v,Årman Jeanet (Ax),1,1000,0,163
1027180,Queen of Sand,109,7,s,Jonasson Camilla (Hd),1,500,1,164
1015700,Athos Race,1523,9,v,Stenströmer Ulf (Ax),0,500,1,165
1007266,Demolition Man F,804,10,v,Nilsson Bengt A (Hd),0,24400,0,166
998897,Lasken Palema,315,12,v,Svanstedt Anders (Ax),0,1000,1,167
993253,Nelle Pride,524,13,v,Angelhammar Lars Krister (J),0,29400,0,168
